一	二三左旦丁刁下上于士干不天王且丘本甘石百
宽	寞觅见能它坟喷愤砚视现规比
审	播潘番婶沈秋萎禾秦锹揪
写	泻牢宅臼插舀审宫宵宋安它穴客身十滔焰
层	增憎僧曾赠匹鹿醋曹西槽遭晒鲁医晶尸糟钾
履	复屉薇症纵复踪从徐御很微得徙徒律徊衍往
幢	撞瞳钟童帜帖霎暗幅焙接培陪倍巾
帜	职织识帖幢帽幔幌巾幅硫梳琉流帕帆
废	拨泼发壳葵疫饮股投疚谷歌毁殿钦杀殷亩般段砍炊
厨	树府橱澎膨蔚符等鼓时恃持咐侍冠夺团遵传彭蹲特
庙	嘲潮朝崭惭渐麻库甫干霸蝴干韩斩脯肺
广	扩旷庶度戒矿席廉甘械蔗盏黄蘸芋其兵西醋横
厂	蔽撇敞弊别撒撤澈矣敌散挨埃唉币屑宵鳖销彻辙梢
弹	阐蝉单战愕器囊板嚣
影	衫彤杉彰彭彩彪形晾景掠凉吵京
德	听从得徐待役行徊律复径后循徙徒很往征彼征冲衔
征	症微霉往彻街徒律徊很待薇惩冲衡衔徘御术衍循彼复
庆	反忧处优扰略板返扳各冬皮及锋殿赂酪络菱
慧	丰叼虐刁扫浸侵伺邦雪妇帚归梆蚌长锋绑峰
虑	肤卢滤虏甸庐芦虚思虐虎腮炉葱疟处
慕	莫摹暮墓幕募昔葛蔓寞萌模膜摸漠意草音芭错蟆惜措借
忧	优扰厦菱处反凌各冬傻陵胳后板返扳
慰	尉蔚屎忍惠悉糖糠凭愚米寸感急怎忌寺守怜穗迷恃
怜	磷鳞粥邻杰籽迷咪粱屎
悯	润涧们搁拦澜栏烂门文闷简
憎	增僧赠层曾醋惜槽遭鹿糟悍晒西曹旬
愤	坟喷惯惋贮贝赛贼惧宽实贯货员瞎贱损慎贿贴败狈
憔	瞧礁蕉焦惧锥椎进推淮堆唯崔
摩	磨么糜魔靡蘑麻术述举空穴控挖
挚	垫执丸孝舞痛爹堵轨热势麦究多宛夷夕丈九麸杰哮
摹	莫慕暮墓幕募昔蔓寞葛萌模膜摸漠意草音芭错蟆措惜借
撞	钟幢瞳接童拉啦樟亿忆暗焙培陪倍泣垃位
扑	朴仆拱撕拼共撰描措烘洪哄供摸搓搭撒摊基异恭
捞	唠劳荣荧肋燃换莹萤营筋勇挡捎撇抛拗尔莺
撑	挡捎撇膛当档偿裆铛呀牙掌棠尚
撰	选巷拱损起哄撕共戴粪捐扑烘洪抱供扣冀基异恭
拨	泼废发投壳股搬疫澄谷橙灯搁毁殿瞪殷般段役歌钦亩
挠	浇晓烧侥绕跷饶挂挂持
撕	嘶斯逝浙拱晰折惭渐掀斤崭薪芹析近听斧匠
撩	潦嘹燎僚辽缭疗了捺捧揍掩刹措捏挟显抛春奉
撒	撇散撤蔽澈挨厂敌敞彻橄嫩傲邀做
撮	最娶扬捍捏提揭取揖技摄措把趣丛耳支
播	潘揪审番禾秦矮透锹萎
抚	芜无抡拴拾拖推扶夫舞庶捡擒抢撵舍捻挫揪
撬	耗尾毛毡毯拙扎摧掘携牲
敌	敞散离献枚数敬敦敢败启敏效故政放牧玫改收撒撇撤澈矢
敷	放邀族救激窍敌数敬敞敦敢散教败启敏效政故致枚牧
数	枚收敌敬敞敢散启赦政故牧玫攻改矢疾矣
暮	摹慕墓幕募昔蔓寞葛萌模膜摸漠薯着
暂	斩崭惭渐斤芹晰析近折听匠斧斯逝浙祈欣所
暴	瀑爆洪寨塞寒异共港烘拱哄供赛溢
样	漾糕永泳仪膳蚁议牺对咏窑槽模构权义善羔姜美
樟	障章暗亿忆粒境镜草音
桩	榛棒凑揍稻秦奏滔焰捧陷馅蹈臼阎旧
枢	岖呕躯驱区操板框柜欧品鸥殴噪
标	膘漂棕蒜票捺襟崇综赊际察
槽	糟遭曹曲浓遵脓模礼蹲体
模	膜漠摸蟆寞莫横桦檬权暮摹慕墓槽错措惜借幕募借昔
楼	搂屡篓缕娄申坤呻伸栖梗神
樊	攀稀矾希疲肴驳椅决快尖艾筷疗爽缺
桨	浆奖酱蒋将肘乐采床梁栽辱森厢药寸膝缚膊搏琳博傅烁林村
乐	药烁床砾以幻几梁栽玄吆幼畜机炫弦似
欧	鸥殴吹歌砍欲区钦亩欢炊玖坎次歉歇款欺饮软欣证枢岖呕
毅	谷殿毁壳设殷般段股投役殴杀疫跺没浸侵逐佩夜
殴	殿设殷股投谷毁壳般段役毅杀疫欧鸥咒
浆	桨奖酱蒋将肘辱薄簿寸缚膊搏博傅雷电尊专泵采汞寺守符府蕾等
澄	灯橙瞪证蹬登泼壹礼洽体凳邓葵
泼	拨废发澄壳没股投淀疫谷灯橙毁殿瞪殷般段役歌钦亩
潦	撩嘹燎僚辽缭疗了源滞淹汰刹湿淡沿淆显
洁	骡嗦螺丝系细累素线绢结绒绝绍纷维绣
浇	挠烧晓侥绕跷饶涛涯洼法翘
潭	坛谭漂樟标膘障早
潜	既溉蚕概慨潭涧污浓涯源汪汗污
潮	嘲渐庙朝湖惭沛汁溯崭干浦沽渤凄斩肺滓滑泞
澎	膨彭彬树趁珍疹穆谚诊厨鼓形须衫杉须派法影彰彩浩彤喜
溃	遗贵债积贡损绩陨价惯钻圆
润	涧闰澜煌惶汪斑班开悯栓拴们
涧	润澜简间们门悯拦烂栏湿搁汤晚闷闲问冕闪
潘	播审番沈禾溜矮透锹揪萎秦
熟	热享敦淳郭廓丸墩烹爹谆醇
熬	赘傲煞灰然痰邀放矢尺焦无黑疾羔炎灸矣燃埃恢
热	艺熟势丸执爹挚垫痛灰多夷夕九封
奖	浆桨酱臭哭突将献状吠伏蒋莽默肘器犬栈兽
莹	荧荣萤劳营莺玉璧捞唠蒙琅球班祖
璃	漓琉斑玷班王瑞珊
瘩	搭塔答痒合荷鸽洽拾恰哈合痘痊拿
瘟	温酝卢仑篇尽盖盏蓝篮盆盗偏蕴皿册锰滥溢遍
瘤	榴溜馏留贸铆柳聊刘奋卿疼疫奄疯
瘦	搜嫂艘桩痢臼舀布疼疫疯逮
疮	苍枪沧抢呛仓舱餐痊疹痒疙食创夺
皱	被波披坡跛雏破玻彼疲皮菠颇簸
盘	盈般搬监盟荡盗盛盔益杯盅扁孟疫殷段股投
瞎	辖睛害睹瞄睬瞪瞻盯目瞒睦睁瞳瞬瞧蒙眨睡
磅	谤膀榜傍螃旁咙楞肪啼硫方
确	礁歌碘硝砍碉石硕碰碑砚朱砰砂研呐硼砸
碾	砸展磁碟砾码石磕碳礁硫矿碰碘研泵
磕	盖滥盏蓝篮碾蝙碟礁硫砾矿舰
码	吗玛蚂妈冯驾闯骂惊马驻驶驹驮驰驳
稿	搞镐篙蒿娇桥侨矫轿秽骄科高稻称程秒稍租和稠禾
稼	嫁家家穗秆秽秒稚租科禾黍稿稻称积程稀棕移获稳
谷	壳般殷段股投毁殿役毅殴设杀疫没躲浸侵板坡肌搬锻枫皮
稽	就私尝穆尤稻穗秽秆程稀移秒禾香
稻	滔称蹈稳稠租舀桩程秽秒禾稿穗秆稀焰陷稍秧秩秘秋和私番
窑	糕羔窖羹窝窟窘窒空洼窜窄突帘究窃膳
穷	躬窜窄身窃窖窍窗究躲洼窥突空帘躺
箭	煎剪前制削刺制莉荆斗涮刷宽算蒂菜箕荐痢升
箱	厢湘霜相策算目楣想篡媚省眉看冒自亲睬困帽租
范	轰库军连载阵车轧辈莲范荤晕裤辑运浑轴挥软链
篇	遍偏编蝙扁篮盛肩匾蓝盆瘟尽卢盖盏仑滥炸昨妒作
糊	湖蝴葫枯胡精米胡糙做糖粗料沽姑咕估苦居固
缔	啼绵蹄蒂纤织丝纹绢绷绰绞统纺帝
练	炼丝细拣绊纱维绣绅组纹纯纽纳纪约纠纬
纬	违伟韩苇围丝绢结给练缓绽综缩纤绒
致	缴丝致缅红绑倒维绪绞组细纹纽纳纫
缅	丝面红细绣绅组纹纠练绰绿维缕绞
编	遍偏蝙篇线绵丝绢总络终纺纸扁
缘	丝绿纠维组纱纽纳纫纪绍纷练缅绰绪缕绞
线	绵腺丝编络终纸缴绢总织结绒绝绍纷细纱
缎	锻搬淀丝段发纵缴纸线络终绑缝绪纱纹纽级编
缓	暖援组纲绸绢丝网纬编线缔绽绵综
骂	闯妈吗驾惊码蚂玛冯马驮罩置买众驻驶驹驳驰驯
罢	摆鹿棍混能熊态皆楷阶揩
翩	翔翻翅扇翘翎羽匾塌习翁
膛	堂挡当档裆铛尚偿当棠掌撑销梢消捎悄峭哨俏常党
膜	模漠摸蟆寞莫朦暮摹慕墓错措惜借脏幕募昔
膝	漆采黍采肘菜膊睬椎枚荣踩腺栓林朋来月桨爱森受
胶	谬寥折耀跃习翰塌嗡翠翼翁
肤	卢虑庐芦虏炉滤虚胃虐虎甸驴
膘	标漂蒜票棕捺赊际襟察崇
蔗	遮庶苔莽戒芜械度荐茂广盏席芝诫镀渡
蔽	厂撇敞弊撒别散敌澈撤币屑宵鳖销梢消捎悄峭哨俏
蔚	尉慰厨符府遵冠屎夺等团寸褥树传特时持恃附
莲	轰链荤运连晕裤浑挥车撵库军辉轧辈载轴软轩阵轨
蔬	疏菲止蒋萨庄肯企岁遣遗硫逃琉梳流扯址
蔓	漫慢幔馒曼幕莫暮摹慕墓葛募昔萌
蔑	梦萝箩还楞爵环袜逻锣
蒋	庄将寝状妆壮薄浆桨奖墙肘蔚菲酱菜
卜	苟芯富逼苞芍福幅副葡菊苇石蝠辐茵茴苛苦若苗泵芋瘩
蓬	篷逢返莲冬炕杭抗坑吭落菠芳菱反
葱	聪惹思虑慈萎腮蕊董芯芹懂
蝴	虫湖糊蜻蛇虫蜘蚓蛔蛆蚌蚪葫虾蝌蛙蛛蛀蚯蝇蚊
蝶	虫碟虫谍蟆蚣叶蝠蜗蝙蜻蟋蛤蛇蚁蛙蛛蛆
蝠	虫福逼幅蛤虹虫蜗蜻辐蝉蚣蠕蛔蛆蚯蚜富
虾	暇假虫蜓蜈霞蚓蝇蚊虫蝴蝌蜘蛔蛀蚪蜂蝉
蜗	虫祸过锅涡螟蛆蜘虫蝠蜻蜈蛤蚣蛔
蝙	遍偏编篇虫蝗螃蜂蟋蛾蛛虫盛扁
蝗	煌惶虫凰蝙蜂蟋蛾蛛虫皇
蝌	虫蚪蛛蛾科蟋虫蝴虾蜓蚓蛀蚊蚌蝙蝗蜂
卫	衔衙衍冲衡街术行彼征彻微徘御很徊律往征径徐待
冲	街衔衍卫衡衙术种肿董循行征役
褐	遏渴揭喝竭葛谒袒歇锡惕蔼
复	腹复被袱反返板扳候夜各冬
褒	衷袁堡哀旅迎远保卒途躁仰裹享昂夜衣逊进起依迄抑
谊	计诅谓谈请诫志谋试讼许讯订
谅	谆让谜谈识注谴志诫谚诺谓谤讼该访
谈	谅诫志谓讼谊请认谋谍诺试诗谱识
谆	谅让谜识淳醇注访谴谊谈请志语认诫误
诞	涎设讯谜讹误诡诽谢训谴课谁诵诬详诚话询
请	谓谊谈论志诫谋试谣讼详诅谨计订调
诸	储堵睹着暑屠奢赌绪署猪者煮
课	谓谁询详注诅诈许诀讨讯记计订
调	碉谣诅谓谁注计请志周课详话询词诈
谁	许课诬详询注诅诈诀讨讯记计订讹
论	诲诊伦讹沦抡请轮诫谓谁许谊谅谈志语认
诽	啡排徘匪菲罪靡训谜谴诞谢讹课谁诬详询
豌	碗腕惋婉头宛壹澄灯橙瞪礼蹬体
竖	肾坚贤紧痘登丰岂短逗凳臣宦临卧服藏盒豆合报
猪	堵屠诸睹逐着暑奢赌绪署
赔	赂焙培倍贴陪贝贱贼菩赋购贮赠赡贿赚败财则
赏	圆陨损当棠掌常韵尝党员尚偿裳实赛贫
赋	武赔赊贮贝贱赐贼赂购贬赠赡赃赎账贴则
贱	贼钱贝溅赔贮贬赠赃贿贴败财则赐赊购赂栈浅赎账赌赚贩
账	胀张帐贝贿贴败财赌赚贩贱贼贮则
赌	睹贿败堵贮贝诸贴贩财贼着暑屠奢
贤	肾坚紧竖赘费贵买贸质资赁贾贺贷贯货赞责贡员厕测侧狈
卖	钾曼甲押匣薯闸牍触续赎读
赐	锡惕踢赠贝贱赂贼贬财易赔赋赊购贮赡赎赌贿贴贩败则
质	贸买贡贾费贵责赞贤资赁贺贷贯货员狈
趟	赵倘淌起赴走越躺超赶趣趋趁陡徒俏尚
趣	超走赴赵越起赶趟取趋趁聂陡椰徒摄闻茸
践	踱足踩踏跋蹂蹈跺蹦蹲躁跟距趴
踢	锡惕赐蹋踏跟足践踩蹂跺蹈趴易踱踊蹄跨跪蹦
踏	足践踢踩踱跟蹂蹈跺蹦躁距趴
踩	蹈蹂跺足踏践蹦躁蹄踱踊蹲跟距趴
躺	淌躬倘身趟躲躯穷尚儿当棠掌堂膛挡当档裆铛常党
辉	运浑挥轰荤晕光裤军撵链莲耀车连恍轧晃库
辆	俩轰轩轴软轧辐车辅轨轻两挽较轮输辖辙
辈	悲轰连库军靠载阵莲范链非菲车排啡匪
轮	输伦沦抡轰论车辐辖软轩轧轻辑辕辙转轿辆辅
适	滴摘嫡嘀商六这述迟滚交卜游脊
遮	蔗弃庶械戒踱诫镀渡扩旷矿述率度充
遭	槽遵糟曹曲浓迈脓暗蹲礼体童音
迁	腰栗价贾粟栗要千复袖逼还这逗近亚奄
邻	那怜郎邦磷鳞邓郑鄙郭都部郁郊
郑	掷郊郁邢邮部都郎邦那邓鄙郭
邓	邢登澄灯橙郑瞪蹬凳邻鄙邮部都郭郊
醇	酿醉淳谆酵醋酷酪酥酸醒酝丑酣酗配酌
醉	醇酿碎悴粹醋酵酷酝酸醒酪丑酥酣酗酌
醋	酣醒酷酝丑酥酗配酌醇醉酵酸酪酿
锌	辟辞宰辜辛辨办辣滓瓣辫辩钟僻避薛
销	铛梢消捎悄峭哨俏锁肖屑宵稍硝赵钞尚
铺	补脯浦捕哺圃辅膊搏博傅甫缚蒲
铐	烤拷考针镇锭丈赌钙杖仗铁锌铺锯
锄	助抛拗沮姐功胜铜筋劳胁宜渤勤蛆组粗租祖阻
铝	侣宫吕锐营铅兑呜脱悦税沿锤阅
锐	脱悦蜕税说阅兑铅铝兄况铣祝嗅克钻岔
锉	挫雁座坐锥钠难滩摊谷瘫进椎淮推堆唯催集焦崔售
锋	峰蜂降赂逢贩略胳烙格洛返板扳
阅	锐税脱悦蜕兑说闭问闺闻闸板闰开闲间闷闪门
震	云雪晨雨霍振霜霎雳
霉	零霍雨侮霎云梅晦海悔灵雪霜霞诲
靠	悲辈告啡非菲诽排徘匪罪造浩
鞍	革鞋靶勒缰鞠靴秋按鞭千霸
鞋	革靶勒鞠鞍靴秋缰蛙畦桂挂娃佳鞭千
巩	恐筑霸筑革鞋鞍靴靶鞠秋勒缰
刮	台活括恬话风飒枫舌疯阔甜舔刮讽飘
养	食痒浪娘琅狼良餐苍仓疮馁枪艰沧抢呛
饿	饥饭饼饵蚀饮饺肴饱饲馁馅饥
馁	饰馅饥饼饵肴饮饥馆馒饶饿饺蚀饲饱饭
驼	驳驮马骆骏骑骡骄验驶驹驻驰鸵骚骤驴骇
驻	马驶驹骇驰驮驳驴骗驼驯骆骏骑骚骡骄验骤驱
驶	驮马驻驹驰驯驳骇骗驼骆骑骏骚骡骄验骤驴驱
驾	吗码闯妈骂惊玛冯蚂架马驮贺驻驶驹驳驰
驹	驰马驻驶驮驳骇骗驼骆骑验驯驱骏骚骡骄骤驴
发	松胡须鬓拔跋衫杉岁疹匆犬澎影膨穆彰
闹	柿市斗痢莉荆前巾喇捌俐制裂帝吊布罚厕蒂测啼
魄	白槐愧块傀的瑰魏鬼泉皂魂丑几皇
鲁	鱼渔鳍鳖鲫鲤鲸鳄
鸦	鸣牙鸭鸠鸽鹃鹅雅鹊鹤邪鹉鸥鸯鹰
麸	面麦扶芙干撵杰侈夫舞窥替规承夕挚宛多令
黎	黍秩八答签历筏禾才种豺番香委秀符稻潘穆漆稚雅秽程沥秘
墨	黑里嘿埋灶默点里野哩量垒童焦羔黔鲤畦理
齿	此雌出上龄逃兆桃挑姚
儒	懦糯蠕需优擂偷伦坝蕾扰而愈仑
尽	尽杯遣遗溃伦跳仑偏俏啡排桃逃姚挑匪菲盔
冀	戴粪背翼异共选撰卢虑暴肤寨塞寒基恭益巷港烘哄拱
凝	拟碍疑次冻准冰凌冷冶冯凛雌此北丸爹匀
剂	齐划剩剖刹削刻刺制判删利刑刊剑刽划割创副剔刚
当	挡档裆铛哨当党膛硝尚掌棠偿福幅堂常
噩	丧王吉鳄玷旺枉弄汪全再玉器瑰碉喜单斑
吨	顿倾濒贰岭苹吁颓硕烦顽顷页须
噪	澡燥躁品区操呕呆保藻喳嚷咖枢岖癌板棠
器	哭嚣严区兽吠单咒莽临阐囊臭突弹蝉献伏
壁	臂劈璧譬辟僻避霹辜薛辛宰锌
垦	恳猫豹豺狠坠貌解堰痕泉皆皇召分履藐凰白
坛	擅檀坏壕壤坑坦毡增场堤颤璃境培垃卦址
奋	夺鸡蕉崔锥椎进雄堆唯推淮旧截雇瘫憔离杂稚
学	觉季孝存搅李字孕浮俘肴荸脖籽好仔
导	道尊寺守肘专辱首对射村付冠自尉讨封耐
宪	害患毒精睛靖晴情清猜青厅积绩请蜻债听
凭	马驹驰蚂闯码驶驻玛驳妈吗驮冯骂驾驼驯腾
惫	佣用内钠呐应想您思忠芯志肉甩丙掏拘
忆	亿意暗樟境障镜音竭章
憾	撼感怠勾勺惦惑匀惨慷惹恕台恰恃心句
懊	澳袄奥恤筋向焕换涣唤愧怕制必痪
懈	解蟹焕换涣唤痪踊勇性琼尾懒怪牛刀忿
战	单弹蝉阐兽团辅当裤器哭哩咽找伐挡档践福
擅	坛檀拥摔搞攘掖掠抗扑毡撞提扬捍颤
拥	攘抗擅摔搞掠掖扑亥撞接拄挺
挡	当档裆铛撑捎撇当膛党掌尚偿福幅棠堂
撼	憾感抬怠找拭挨搪惑台扩掺搏捕拔惹恕
据	逐剧猪疟扬滤唬
择	泽绎译释押摆幸浊曙烛钾卖闸曼匣
擂	蕾扰雷电儒懦糯蠕青播优描揣晴抡情清坝
操	板枢噪岖呕采躯驱区品澡燥揉攘捐保扣
捡	俭检脸险验签拾碱舍拴抡恰洽哈搭抢答擒给蛤捻拖钥合合
擒	禽抡捡抢舍捻拾拴拖漓璃抚于推扶仆
担	胆瞻赡拾拯拓小捡搭逼换揉逗捂
整	症歪怔征正政嫩企止武肯遣趾扯址收
历	历沥香雳秆黎汤秩季查禾才穆种酥杆秘豺秒
晓	烧挠浇侥绕跷饶时捏翘畦桂挂娃卦佳闺
昙	云师震雨雪筛狮佩霎霉零雳霍云霜帜漏
朴	扑仆柑共棋烘洪拱哄林供横槽模檬榕寨异基恭
桦	哗华横檬柑模权棋荆构槽械葬
橙	灯澄瞪证蹬登壹礼体凳邓葵
横	桦黄檬柑模权棋标槽哗构械朴广
橘	茅矛雾务移桶多侈楣棚予爹橙样猾揉桅抒榔
树	厨橱膨澎咐鼓村时持恃侍等谢附遵蹲彭特蔚夺符府
橄	敢杆嫩做枚撒邀撇傲肝汗奸杆竿旱
椭	随堕椰榔梆郭啊郑陕郁郎邢邦那
橡	像豫象桶李椎根柏枚林橙桅
桥	娇侨矫轿骄乔稿镐搞篙蒿吞添舔沃妖笑奏
机	叽讥饥几烁砾槐后魂吆药巍玄魏拗似鬼乐关畜
历	沥历雳武企扯址啃趾止肯岁赋歧正症歪步秽遣徙政科怔征
淀	锻搬殿缎发臀杀殷股没投疫泼壳般段
澡	噪燥躁藻品保呆操灌涡浩沼治沿况癌棠区
浓	脓农槽遭礼体污遵糟漂甚
泽	择绎译释浊幸曼烛曙钾押卖闸匣
浊	烛独触蜀泽曼择曙钾押卖闸匣
澳	懊袄奥涣沃添筋向潘焕换唤泪浩洛泊制痪
激	缴窍邀放族澈淤傲敷漩撤彻微游泊簇
烧	晓浇挠绕侥跷饶灶结社翘
灯	橙澄瞪证蹬炊登礼壹体凳邓葵
燕	咽蕉芜蒸煎萧菊忠庶蘸英秋蕊慕蔗葱痰惹叶葬席患芯菲荆
燎	辽潦撩嘹缭僚疗了尖燃刹隙显煮炎灿熔烟爆煌
烫	荡汤荡熊照炎旦源渣淡愿煮烈原杰旱灰乒宾氮
燃	然痰焕恢尔灰灿淡弥荧炎捞唠谈毯弥肖劳
独	浊烛触蜀狸狞猾猖狰猜钾狗押匣
瓢	飘狐弧孤瓤瓣瓜标膘漂票
瘸	肉架贺希驾腐呐加肴茄咖瘟疗胁病努
卢	肤虑庐芦炉虏驴瘟篇尽蓝盖盏篮盆仑虚滤温遍颅
瞒	瞄满蒙席算睬睁睛啼目蒂锦瞳瞧滞睦棉帽怖布鼎
磨	蘑糜摩么魔靡麻碧术拓司石铜述
砖	传转团专碗诗砾栽褥磷磁碟博硫铁时持恃侍朱咐石府
御	宗奈禁票祭祟示行三碳灭二不崇炭些斋虱否韭襟棕捺径杯
积	债绩责遗溃精损钻价惯睛陨韵晴猜清情圆
颖	顷颗频烦顿须颊头颓硕颇颜顽颁颂类愿项顶顾显
穆	彬谚诊趁珍柏疹棉膨澎稽秒秩香锦穗稻秽称腺煌程秆
窥	规搅见觅砚视现觉观穷窃窟
篙	蒿镐搞稿桥娇侨高矫轿骄膏豪乔亭壕嚎敲停
筑	恐筑巩工竿汞斤析肛江扛芹晰欣近攻折
篡	算省眉看冒箱自楣媚相督眷盲首目太了渺惧咱
筛	狮师佩帅薛埠昙雨两笙启俩筑霍雪笑吊篇
糕	窑糟羔样米羹膳粮精粉粒粪仪粹漾糯牺糖糠粗料
糖	糠搪塘唐米粒粗料籽糊糕糟精粉糙粪
缚	膊搏博傅绒丝缠绷织绢
县	系孙逊系悬丝细洁累索维绣绊组纱纹纯纽纳纪约
翰	蹋塌嗡翁折跃翼习
膳	善糕喜样仪漾牺窑蚁议羹羔美姜膜朦对敬义冈
腻	贰拭试项页式硕烦顿颂顶颤代贵责贡
膨	澎彭彬树趁珍疹穆谚诊厨鼓形周须周彩衫杉彤稠碉须
兴	筒铜桐洞同臼石只且答幅壹租
艘	舶舟舵舷船航舱舰艇瘦舀搜嫂
舱	枪沧抢呛船舟舰舷舵航舶疮苍艘
蕊	芯萄叶苟芍葱惹菊苞燕慕葬慈卜葡葛菜芦莽莫茶苔恭苗思
荡	汤萍烫蒲落菠藻茫范薄荡度渣萌旦踏润滨源
蕉	旧憔礁瞧焦蘸芜奋崔锥进椎淮推堆唯
萧	箫肃啸锈绣英燕革荠苗芯昔艾荆席满渊姊
芜	抚无蕉庶燕蔗蒸茶煎蘸苍旧莽芥舞花借
螃	磅膀榜傍谤虫旁蝙蟀蛀蚊蚪螟蜗蜻蛇虫
螟	虫蜗蛆蜻蚣虫螃蝙蝗蟆蟀蛀蚊蚪蝴
蚂	码玛妈吗冯虫骂闯驾惊蚌骚虫蛹蛾驮蛙蛔蛀蛆蚯蚪蚊
萤	虫莹荧荣劳营蜜莺强虫搔骚闽蚤螟蝴蜻蛔蛙蛀蛆
融	虫蚀闽蚤虫蟹蛋蛮蛙蛔蛀蛆蚯蚌蚊蚪
衡	衔街衍卫冲衙术行征微御霉徊彻徘徙徒很律征往彼
褪	腿退堰银根限恨痕艰跟眼狠很隧随褂衬川良罩
裤	轰库运浑挥撵链莲荤载晕辉车连阵轧军
褥	辱将遵砖传特时持恃待侍附畏缚转膊诗蹲搏博傅咐
亲	衬览榄杂相揽湘霜箱厢缆想目出盹拙楣督茁冒盲屈
谚	诊访谅谤识注谓谆谈诫志讼让该谜谢
讳	语诀讨谋谍诺谓谅谈谆请论谊志认诫误试诗
谋	谍诺讲谎诫谱详谓谊谈请志语试诗议讼护课谦
谍	谋碟志诫询谓诺谈认试诗谱讼课详诀讨
谐	楷阶揩皆诊讹谚谋谍诺谒谓谊谅谈请谎谣志认
诺	谎护诫谋讲谱详谓谍谅谈志议讼谦谨诀
谒	喝遏褐竭渴揭蔼志谱识谋谍诺谓谊谅谈请论
谓	请课谈谊谣志诫译讼调谋诺谍谅论讲认诲
讽	飒枫设飘疯诈谢话诉诱
豫	橡像予预象抒序野舒墅多移侈爹
猫	豹豺瞄锚描垦恳解苗迈袜刀菌屉芬
赖	懒癞初束分解昭沼招叨贫盆忿岔
蹄	啼缔蒂趾踩蹦迹足帝踊践踏蹈
踱	践镀渡踏跋足踩蹂蹈蹦跺蹲蹬躁躏跟
踊	蹂跪踩蹬足勇蹄践踏蹈蹦跨跺唤距
蹂	踩跺揉踊跪足践踏蹈蹬躁趴踱踢蹦蹲躏跟距跌
辐	轰轻富逼福幅轩车辑辖蝠辆轴轧输轮辕轿软轨
辑	轰揖车辐轩轧辖辕转轿辅轴软轨
输	轮偷逾榆愉喻轰车辐辖软轩轨轧愈
辨	办瓣辫辩避辛僻辣滓薛霹宰锌辜辟辞
办	辨辫瓣辩避僻辛滓薛辣霹宰锌辟辜
遵	蹲遭尊褥迈糟槽传特时持恃侍蔚团
选	撰巷起哄共粪戴烘洪拱供冀寒异基恭
迟	犀嘱属这适避逝遍违非匪卜游
辽	燎潦撩嘹僚缭疗了刹显逛文选遭遮遏这逢银源送退
遗	溃贵遣债积贡绩陨损逃价惯韵钻圆
醒	醋腥猩酷酪丑酣酥醇醉酝酵酸酿酗配酌
锭	绽定提堤是针贮嫁家稼滨棕喧铁铐镇
表	表素铲畏青银钳钙钧针钉拓打晴喂清情偎
锯	圣居镊耳古分针耿耻胡枯沽姑咕取估茸苦忿固岔
锰	猛孟栅盆溢滥隘遍温偏好仔李字
错	锚措惜借昔醋暗钳萌莫膜模漠摸草音芭镜暮摹慕寞墓
钱	贱栈浅公镀践残松盏蚣渗掺惨贼讼翁
钢	纲岗冈铜逆溯刚益溢皿册脊锰锅隘盆
锡	赐惕踢易勿吻忽物剔匆
录	绿碌氯剥互铸汇银钳钮钦钉表锤镇钙钧
锥	进椎淮推堆唯崔锉离杂稚雄准
锦	棉绵帮帕瞒满滞腺煌惶啼怖布迫柏泊拍怕伯
阎	焰陷馅门合阁旧关闲间闷闭问闪
隧	遂随障陪防附陡阱队陈陕限陌阻陶除
随	椭隧防陪陌阻障附陈陡陕限阿阱隔除陋堕
险	俭捡脸检除验碱签阴附洽拾恰哈际隔蛤陪陋陕陌阿阻合答
雕	唯谁堆礁锥离进椎淮推虽杂鸡维难稚雄准瞧
霎	雨霉零云霍雪霹灵震霜霞
霍	雨雪霉零震霜霎云霞霹灵
静	挣睁净狰筝争青晴清情擂精靖睛猜授朋硼
颊	题烦频颗硕颂顿顶顷显头颓颖颇领额预顽颁类愿颠须项
颈	劲项频头颗硕顽顿颂烦顶顷颤显颊颓颖颇领题预颁
频	顷颜颁须濒苹颗硕颂顿烦顶显颊头颓颖颇题顽愿项顾颤
头	硕烦顶频颗顿颂顽项顷显颅颊颈颓颖领颇额题预颁类
颓	顽顿频颗烦顷颊头颖颇硕颁颂类愿项须顾顶显
餐	痒食养疮良狼浪娘琅苍灿仓夜枪沧抢呛假
馆	棺馅馁饰馒饵管馏饶饥肴饿饺饼蚀饲饱
馅	饮馁饥馆饰馒饶饥饿饵饼饭
肴	饺饼饵饭饮饥馁饿蚀饲饱饰
骇	驻驮核咳马驶驹驰骗孩该骆驼驳骡验驴驯
骆	烙络略骄胳格洛骏驳路赂驮马
鸵	鸟驼舵蛇鸣能鸭鹃鸠鹊鹏鸦鸽鹅鹤鸥
鸯	鸭鸣鹃鸠鸳鹰鹊鹤鸦鸽鹅鹉鸥
鸭	鸣鹃鸠鹊鸽鹅鹤鸯鸦鹉鸥鹰
鸳	怨鸯鹰鸣鸠鸭鸽鹅鹃鹊鹤鸥
默	点黔吠伏兽献状黑嘿犬墨莽臭哭突
黔	吟默点琴伶铃捻玲冷黑今
龙	拢咙胧庞宠笼垄旁聋袭敌离献膀榜傍
